state,population,year,stateyear,justifiable,syg,syg_ever,justifiable100K,murderper100K
Wyoming,499189,2003,Wyoming2003,,0,0,0,2.8
Wyoming,502988,2004,Wyoming2004,,0,0,0,2.2
Wyoming,506242,2005,Wyoming2005,1,0,0,1.98,2.7
Wyoming,512841,2006,Wyoming2006,,0,0,0,1.7
Wyoming,523414,2007,Wyoming2007,,0,0,0,3.1
Wyoming,532981,2008,Wyoming2008,,0,0,0,1.9
Wyoming,544270,2009,Wyoming2009,,0,0,0,2
Wyoming,564554,2010,Wyoming2010,,0,0,0,1.4
Alabama,4464034,2001,Alabama2001,2,0,1,0.45,8.5
Alabama,4472420,2002,Alabama2002,3,0,1,0.67,6.8
Alabama,4490591,2003,Alabama2003,2,0,1,0.45,6.6
Alabama,4512190,2004,Alabama2004,3,0,1,0.66,5.6
Alabama,4545049,2005,Alabama2005,,0,1,0,8.2
Alabama,4597688,2006,Alabama2006,3,1,1,0.65,8.3
Alabama,4637904,2007,Alabama2007,1,1,1,0.22,8.9
Alabama,4677464,2008,Alabama2008,3,1,1,0.64,7.6
Alabama,4708708,2009,Alabama2009,,1,1,0,6.8
Alabama,4785401,2010,Alabama2010,,1,1,0,5.7
Arizona,5304417,2001,Arizona2001,20,0,1,3.77,7.5
Arizona,5452108,2002,Arizona2002,18,0,1,3.3,7.1
Arizona,5591206,2003,Arizona2003,4,0,1,0.72,7.9
Arizona,5759425,2004,Arizona2004,11,0,1,1.91,7.2
Arizona,5974834,2005,Arizona2005,8,0,1,1.34,7.5
Arizona,6192100,2006,Arizona2006,13,1,1,2.1,7.5
Arizona,6362241,2007,Arizona2007,17,1,1,2.67,7.4
Arizona,6499377,2008,Arizona2008,19,1,1,2.92,6.3
Arizona,6595778,2009,Arizona2009,17,1,1,2.58,5.8
Arizona,6413158,2010,Arizona2010,18,1,1,2.81,6.4
Florida,16353869,2001,Florida2001,12,0,1,0.73,5.3
Florida,16680309,2002,Florida2002,12,0,1,0.72,5.5
Florida,16981183,2003,Florida2003,16,0,1,0.94,5.4
Florida,17375259,2004,Florida2004,8,0,1,0.46,5.4
Florida,17783868,2005,Florida2005,18,1,1,1.01,5
Florida,18088505,2006,Florida2006,12,1,1,0.66,6.2
Florida,18277888,2007,Florida2007,42,1,1,2.3,6.6
Florida,18423878,2008,Florida2008,41,1,1,2.23,6.4
Florida,18537969,2009,Florida2009,45,1,1,2.43,5.5
Florida,18838613,2010,Florida2010,40,1,1,2.12,5.2
Georgia,8419594,2001,Georgia2001,6,0,1,0.71,7.1
Georgia,8585535,2002,Georgia2002,8,0,1,0.93,7.1
Georgia,8735259,2003,Georgia2003,2,0,1,0.23,7.6
Georgia,8913676,2004,Georgia2004,15,0,1,1.68,6.9
Georgia,9097428,2005,Georgia2005,6,0,1,0.66,6.2
Georgia,9330086,2006,Georgia2006,12,1,1,1.29,6.4
Georgia,9533761,2007,Georgia2007,8,1,1,0.84,7.5
Georgia,9697838,2008,Georgia2008,18,1,1,1.86,6.6
Georgia,9829211,2009,Georgia2009,12,1,1,1.22,5.8
Georgia,9712157,2010,Georgia2010,22,1,1,2.27,5.8
Idaho,1321170,2001,Idaho2001,1,0,1,0.76,2.3
Idaho,1342149,2002,Idaho2002,,0,1,0,2.7
Idaho,1364109,2003,Idaho2003,1,0,1,0.73,1.8
Idaho,1391718,2004,Idaho2004,,0,1,0,2.2
Idaho,1425862,2005,Idaho2005,1,0,1,0.7,2.4
Idaho,1464413,2006,Idaho2006,,1,1,0,2.5
Idaho,1499245,2007,Idaho2007,1,1,1,0.67,3.3
Idaho,1527506,2008,Idaho2008,,1,1,0,1.5
Idaho,1545801,2009,Idaho2009,,1,1,0,1.6
Idaho,1571102,2010,Idaho2010,,1,1,0,1.3
Illinois,12507833,2001,Illinois2001,7,0,1,0.56,7.9
Illinois,12558229,2002,Illinois2002,5,0,1,0.4,7.5
Illinois,12597981,2003,Illinois2003,13,0,1,1.03,7.1
Illinois,12645295,2004,Illinois2004,6,1,1,0.47,6.1
Illinois,12674452,2005,Illinois2005,3,1,1,0.24,6
Illinois,12718011,2006,Illinois2006,2,1,1,0.16,6.1
Illinois,12779417,2007,Illinois2007,2,1,1,0.16,5.9
Illinois,12842954,2008,Illinois2008,,1,1,0,6.1
Illinois,12910409,2009,Illinois2009,2,1,1,0.15,6
Illinois,12841980,2010,Illinois2010,,1,1,0,5.5
Indiana,6124967,2001,Indiana2001,1,0,1,0.16,6.8
Indiana,6149007,2002,Indiana2002,5,0,1,0.81,5.9
Indiana,6181789,2003,Indiana2003,2,0,1,0.32,5.5
Indiana,6214454,2004,Indiana2004,3,0,1,0.48,5.1
Indiana,6253120,2005,Indiana2005,3,0,1,0.48,5.7
Indiana,6301700,2006,Indiana2006,7,1,1,1.11,5.8
Indiana,6346113,2007,Indiana2007,5,1,1,0.79,5.6
Indiana,6388309,2008,Indiana2008,4,1,1,0.63,5.1
Indiana,6423113,2009,Indiana2009,3,1,1,0.47,4.9
Indiana,6490622,2010,Indiana2010,14,1,1,2.16,4.5
Kansas,2701456,2001,Kansas2001,,0,1,0,3.4
Kansas,2712598,2002,Kansas2002,7,0,1,2.58,2.9
Kansas,2721955,2003,Kansas2003,,0,1,0,4.5
Kansas,2730765,2004,Kansas2004,,0,1,0,4.5
Kansas,2741771,2005,Kansas2005,1,0,1,0.36,3.7
Kansas,2755700,2006,Kansas2006,2,1,1,0.73,4.6
Kansas,2775586,2007,Kansas2007,1,1,1,0.36,3.9
Kansas,2797375,2008,Kansas2008,2,1,1,0.71,4
Kansas,2818747,2009,Kansas2009,1,1,1,0.35,4.4
Kansas,2859143,2010,Kansas2010,3,1,1,1.05,3.5
Kentucky,4069191,2001,Kentucky2001,2,0,1,0.49,4.7
Kentucky,4091330,2002,Kentucky2002,,0,1,0,4.5
Kentucky,4118627,2003,Kentucky2003,1,0,1,0.24,4.6
Kentucky,4147970,2004,Kentucky2004,,0,1,0,5.7
Kentucky,4182293,2005,Kentucky2005,1,0,1,0.24,4.6
Kentucky,4219374,2006,Kentucky2006,1,1,1,0.24,4
Kentucky,4256278,2007,Kentucky2007,3,1,1,0.7,4.8
Kentucky,4287931,2008,Kentucky2008,6,1,1,1.4,4.6
Kentucky,4314113,2009,Kentucky2009,11,1,1,2.55,4.3
Kentucky,4347223,2010,Kentucky2010,7,1,1,1.61,4.3
Louisiana,4460816,2001,Louisiana2001,10,0,1,2.24,11.2
Louisiana,4466068,2002,Louisiana2002,8,0,1,1.79,13.2
Louisiana,4474726,2003,Louisiana2003,9,0,1,2.01,13
Louisiana,4489327,2004,Louisiana2004,13,0,1,2.9,12.7
Louisiana,4497691,2005,Louisiana2005,10,0,1,2.22,9.9
Louisiana,4240327,2006,Louisiana2006,14,1,1,3.3,12.4
Louisiana,4376122,2007,Louisiana2007,14,1,1,3.2,14.2
Louisiana,4451513,2008,Louisiana2008,9,1,1,2.02,11.9
Louisiana,4492076,2009,Louisiana2009,14,1,1,3.12,11.8
Louisiana,4545343,2010,Louisiana2010,12,1,1,2.64,11.2
Michigan,10006093,2001,Michigan2001,15,0,1,1.5,6.7
Michigan,10038767,2002,Michigan2002,7,0,1,0.7,6.7
Michigan,10066351,2003,Michigan2003,21,0,1,2.09,6.1
Michigan,10089305,2004,Michigan2004,11,0,1,1.09,6.4
Michigan,10090554,2005,Michigan2005,2,0,1,0.2,6.1
Michigan,10082438,2006,Michigan2006,5,1,1,0.5,7.1
Michigan,10050847,2007,Michigan2007,6,1,1,0.6,6.7
Michigan,10002486,2008,Michigan2008,6,1,1,0.6,5.4
Michigan,9969727,2009,Michigan2009,19,1,1,1.91,6.2
Michigan,9877143,2010,Michigan2010,18,1,1,1.82,5.7
Mississippi,2853313,2001,Mississippi2001,3,0,1,1.05,9.9
Mississippi,2858643,2002,Mississippi2002,1,0,1,0.35,9.2
Mississippi,2867678,2003,Mississippi2003,2,0,1,0.7,9.3
Mississippi,2886006,2004,Mississippi2004,,0,1,0,7.8
Mississippi,2900116,2005,Mississippi2005,1,0,1,0.34,7.3
Mississippi,2897150,2006,Mississippi2006,,1,1,0,7.7
Mississippi,2921723,2007,Mississippi2007,,1,1,0,7.1
Mississippi,2940212,2008,Mississippi2008,1,1,1,0.34,8.1
Mississippi,2951996,2009,Mississippi2009,2,1,1,0.68,6.6
Mississippi,2970072,2010,Mississippi2010,1,1,1,0.34,7
Missouri,5643986,2001,Missouri2001,11,0,1,1.95,6.6
Missouri,5680852,2002,Missouri2002,7,0,1,1.23,5.8
Missouri,5714847,2003,Missouri2003,6,0,1,1.05,5
Missouri,5758444,2004,Missouri2004,5,0,1,0.87,6.2
Missouri,5806639,2005,Missouri2005,5,0,1,0.86,6.9
Missouri,5861572,2006,Missouri2006,4,0,1,0.68,6.3
Missouri,5909824,2007,Missouri2007,7,1,1,1.18,6.5
Missouri,5956335,2008,Missouri2008,12,1,1,2.01,7.7
Missouri,5987580,2009,Missouri2009,3,1,1,0.5,6.5
Missouri,5995715,2010,Missouri2010,5,1,1,0.83,7
Montana,905873,2001,Montana2001,,0,1,,3.8
Montana,909868,2002,Montana2002,,0,1,,1.8
Montana,916750,2003,Montana2003,,0,1,,3.3
Montana,925887,2004,Montana2004,,0,1,,3.2
Montana,934801,2005,Montana2005,,0,1,,1.9
Montana,946230,2006,Montana2006,,0,1,,1.8
Montana,957225,2007,Montana2007,,0,1,,1.5
Montana,968035,2008,Montana2008,,0,1,,2.4
Montana,974989,2009,Montana2009,,1,1,,3.3
Montana,990958,2010,Montana2010,,1,1,,2.6
North Dakota,636267,2001,North Dakota2001,,0,1,,1.1
North Dakota,633617,2002,North Dakota2002,,0,1,,0.8
North Dakota,632809,2003,North Dakota2003,,0,1,,1.9
North Dakota,636303,2004,North Dakota2004,,0,1,,1.4
North Dakota,635365,2005,North Dakota2005,,0,1,,1.1
North Dakota,636771,2006,North Dakota2006,,0,1,,1.3
North Dakota,638202,2007,North Dakota2007,,1,1,,1.9
North Dakota,641421,2008,North Dakota2008,,1,1,,0.5
North Dakota,646844,2009,North Dakota2009,,1,1,,1.9
North Dakota,674629,2010,North Dakota2010,,1,1,,1.5
Ohio,11396874,2001,Ohio2001,2,0,1,0.18,4
Ohio,11420981,2002,Ohio2002,,0,1,0,4.6
Ohio,11445180,2003,Ohio2003,1,0,1,0.09,4.6
Ohio,11464593,2004,Ohio2004,,0,1,0,4.5
Ohio,11475262,2005,Ohio2005,2,0,1,0.17,5.1
Ohio,11492495,2006,Ohio2006,9,0,1,0.78,4.7
Ohio,11520815,2007,Ohio2007,7,0,1,0.61,4.5
Ohio,11528072,2008,Ohio2008,3,1,1,0.26,4.7
Ohio,11542645,2009,Ohio2009,2,1,1,0.17,4.6
Ohio,11537968,2010,Ohio2010,3,1,1,0.26,4.1
Oklahoma,3464729,2001,Oklahoma2001,6,0,1,1.73,5.3
Oklahoma,3484754,2002,Oklahoma2002,8,0,1,2.3,4.7
Oklahoma,3498687,2003,Oklahoma2003,9,0,1,2.57,5.9
Oklahoma,3514449,2004,Oklahoma2004,5,0,1,1.42,5.3
Oklahoma,3532769,2005,Oklahoma2005,2,0,1,0.57,5.3
Oklahoma,3574334,2006,Oklahoma2006,7,1,1,1.96,5.8
Oklahoma,3612186,2007,Oklahoma2007,13,1,1,3.6,6.1
Oklahoma,3644025,2008,Oklahoma2008,9,1,1,2.47,5.8
